tweet_id,tweet,date,label,day,month,hour,season,hour_interval
1606767075984375808,berk al kedi özle öl küçücük sev oğul sevecim,2022-12-25 00:41:37,1,pazar,12,0,kış,22-02
1537178207677448193,yan öylesine ciddi al yaşa yet mesela zeytin dik çocuk kal öl kork hal ölüm inan nazım hikmet mutlu dil yeni gün,2022-06-16 00:00:18,1,perşembe,6,0,yaz,22-02
1536458790802972673,saç gölge öl güzel,2022-06-14 00:21:36,1,salı,6,0,yaz,22-02
1495413883166760960,öyle güzel bak göz sev öl gel iç,2022-02-20 18:03:47,1,pazar,2,18,kış,18-22
1490420667614904334,sev öl yaşa mis,2022-02-06 23:22:32,1,pazar,2,23,kış,22-02
1490391945142751233,halbuki sev öl yaşa,2022-02-06 21:28:24,1,pazar,2,21,kış,18-22
1489780520359759873,gül bir tesadüf bekle anlam yok yaşa bir tesadüf hayat bir tesadüf öl gül sev sev çok,2022-02-05 04:58:49,1,cumartesi,2,4,kış,02-06
1608551263037435904,te sağlık güzel karar mutlu sop güvercing ortalama pozitif ödev in adet özsaygı döv düşük enflasyon basur konser kitap bit istikrar gerçek hayal kur bi sürü yeni deneyim kız tatil vasiyetname bit hayat heves,2022-12-29 22:51:21,1,perşembe,12,22,kış,22-02
1584421772166037505,depresyon vasiyetname uğraş arkadaş yan ol,2022-10-24 08:49:22,1,pazartesi,10,8,sonbahar,06-10
1532802348350840836,bisiklet let ışık kulaklık saat su semt dolan vasiyetname sebep bak rahat et his yaşa iste ağır bas kalite bir müzik liste hafif esen bir hava boş zihin,2022-06-03 22:12:12,1,cuma,6,22,yaz,22-02
1477965571413225473,sabah vasiyetname iyi gelecek inan bir müzik dinle iyi gelecek yaz oku yazı bir gün dene iste fayda ol umut koy,2022-01-03 14:30:26,1,pazartesi,1,14,kış,14-18
1608773661322014720,elbette yer gel üz sinirlenice insan hayat zevk al yol çiz ölüm kıymet yap,2022-12-30 13:35:05,1,cuma,12,13,kış,10-14
1608113522378002432,ama sene olumlu yağmur ol,2022-12-28 17:51:55,1,çarşamba,12,17,kış,14-18
1607477352539324418,kürt güzel kelime mesela zaman mir he tali dış ez jet hezimet sonunda ol bil sev sen,2022-12-26 23:44:00,1,pazartesi,12,23,kış,22-02
1607412174292500481,eğer olums ölüm kork güzel yüz güzel,2022-12-26 19:25:01,1,pazartesi,12,19,kış,18-22
1597057169874071552,sen yaz bura yaz bir umut tüken bir hasret çek bir bir gün elbet gelecek ol sevgi öl bit doğum gün kutlu ol güzelim,2022-11-28 05:37:55,1,pazartesi,11,5,sonbahar,02-06
1580861732888915968,o ol hesap çek gün ol yinede doğru insan ol kır baş yer eğ davran sergile tercih et teşekkür allahım yürek ver için,2022-10-14 13:03:02,1,cuma,10,13,sonbahar,10-14
1578888288454471681,saat anne mesaj at gün ev neşe azal iki hafta ol anne keşke olumsuz ol,2022-10-09 02:21:16,1,pazar,10,2,sonbahar,02-06
1549861714455412737,ölüm yok çare geri hallol,2022-07-21 00:00:02,1,perşembe,7,0,yaz,22-02
1540376295925751808,heyhey millet haziran salı saat birzümrutyeşiliolum gel of aşırı heyecan salı ol bil,2022-06-24 19:48:22,1,cuma,6,19,yaz,18-22
1529126255559311361,ölüm takvim yok baş dik yaşa,2022-05-24 18:44:43,1,salı,5,18,ilkbahar,18-22
1490677436136267780,ev telaş kırık kol ço vid sınav gün önceden çalış dönem ortalama bit yet yaa maşallah ben,2022-02-07 16:22:50,1,pazartesi,2,16,kış,14-18
1585119666527010817,biraz depresyon başla sıra dost 1 mm give you the world 1 mm buy diamond ring for you 1 mm sing for you 1 ll do anything for you to se you sim,2022-10-26 07:02:33,1,çarşamba,10,7,sonbahar,06-10
1559287410235740160,az bugün doğum gün ol alaka depresif bir tweet at bir arkadaş at doğum gün kutlu ol mesaj gör su an dünya mutlu insan küçük insan mutlu et inan,2022-08-16 00:14:23,1,salı,8,0,yaz,22-02
1594802003984654356,hey ferah tut endişe din çal bugün ol yer yarın ol yer ol,2022-11-22 00:16:42,1,salı,11,0,sonbahar,22-02
